🐠stake.fish,0.057308,115000000000uatom,11506112390721uatom
Coinbase Custody,0.055809,2000000uatom,11205180798472uatom
DokiaCapital,0.052702,350000000000uatom,10581304494805uatom
Zero Knowledge Validator (ZKV),0.046899,9000000uatom,9416116634579uatom
SG-1,0.046232,2642000000uatom,9282300024551uatom
Binance Node,0.040791,6999300081uatom,8189764203708uatom
Polychain,0.034379,1000000uatom,6902429008972uatom
Everstake,0.032885,277900000uatom,6602603135046uatom
GAME,0.032562,1000000uatom,6537645169535uatom
Paradigm,0.032255,2000000uatom,6475951643754uatom
Sikka,0.029921,19896210513uatom,6007322623909uatom
Figment,0.026287,0uatom,5277816195102uatom
Cosmostation,0.018806,23117172506uatom,3775699235872uatom
Binance Staking,0.018574,0uatom,3729282794461uatom
P2P.ORG - P2P Validator,0.018451,4963825622uatom,3704563350022uatom
Chorus One,0.017466,1000000uatom,3506684420871uatom
Kraken,0.017408,9000000uatom,3495126802818uatom
MultiChain ventures,0.016278,19998000uatom,3268314872102uatom
Informal Systems,0.015608,8527960633uatom,3133699899121uatom
NO! Fee to 2025 💸 | melea.xyz,0.014987,30111111uatom,3009076910058uatom
Provalidator,0.013886,10000000uatom,2787961319424uatom
Citadel.one SuperApp,0.013646,2194000000uatom,2739854098840uatom
StakeLab,0.012744,1055000uatom,2558700819484uatom
Certus One,0.011913,63620000uatom,2391750519095uatom
zugerselfdelegation,0.011046,1000000uatom,2217681861526uatom
hashtower,0.010568,564536913686uatom,2121840452500uatom
Allnodes.com ⚡️ 0% fee,0.010460,1000000uatom,2100056917865uatom
Imperator.co,0.010399,3000000uatom,2087837445882uatom
BouBouNode,0.009738,17782112762uatom,1955090906610uatom
iqlusion,0.009334,20000000000uatom,1873981047257uatom
Swiss Staking,0.007831,1000000uatom,1572321127454uatom
CoinoneNode,0.007697,138381363196uatom,1545432466715uatom
Blockpower,0.007588,4039500002uatom,1523418884385uatom
Forbole,0.007440,0uatom,1493824287793uatom
Staking Facilities,0.006920,290799082078uatom,1389357337489uatom
strangelove-ventures,0.006709,3900008uatom,1347095144578uatom
DACM,0.006602,90990900uatom,1325473371153uatom
Staked,0.006377,103226uatom,1280387990575uatom
