🐠stake.fish,0.057216,115000000000uatom,11490491374222uatom
Coinbase Custody,0.055802,2000000uatom,11206569965921uatom
DokiaCapital,0.052690,350000000000uatom,10581519274435uatom
Zero Knowledge Validator (ZKV),0.046888,9000000uatom,9416249872613uatom
SG-1,0.046268,2642000000uatom,9291805570485uatom
Binance Node,0.040903,6999300081uatom,8214368418885uatom
Polychain,0.034389,1000000uatom,6906157507094uatom
Everstake,0.032711,277900000uatom,6569222905266uatom
GAME,0.032591,1000000uatom,6545119169576uatom
Paradigm,0.032247,2000000uatom,6475951643754uatom
Sikka,0.029904,19896210513uatom,6005433062319uatom
Figment,0.026379,0uatom,5297636494494uatom
Cosmostation,0.018815,23117172506uatom,3778540170703uatom
Binance Staking,0.018606,0uatom,3736515525872uatom
P2P.ORG - P2P Validator,0.018450,4963825622uatom,3705147534388uatom
Chorus One,0.017460,1000000uatom,3506386072565uatom
Kraken,0.017404,9000000uatom,3495124571762uatom
MultiChain ventures,0.016279,19998000uatom,3269323228906uatom
Informal Systems,0.015562,8571475098uatom,3125246938667uatom
NO! Fee to 2025 💸 | melea.xyz,0.015054,30111111uatom,3023162363108uatom
Provalidator,0.013924,10000000uatom,2796319516043uatom
Citadel.one SuperApp,0.013635,2194000000uatom,2738332762063uatom
StakeLab,0.012748,1055000uatom,2560107396723uatom
Certus One,0.011909,63620000uatom,2391605486725uatom
zugerselfdelegation,0.011022,1000000uatom,2213567866526uatom
hashtower,0.010567,564536913686uatom,2122123612119uatom
Allnodes.com ⚡️ 0% fee,0.010492,1000000uatom,2107165687138uatom
Imperator.co,0.010431,3000000uatom,2094774684982uatom
BouBouNode,0.009736,17782112762uatom,1955184710910uatom
iqlusion,0.009333,20000000000uatom,1874385861066uatom
Swiss Staking,0.007918,1000000uatom,1590072190069uatom
CoinoneNode,0.007701,138381363196uatom,1546539903666uatom
Blockpower,0.007589,4039500002uatom,1524080259532uatom
Forbole,0.007437,0uatom,1493620925403uatom
Staking Facilities,0.006918,290799082078uatom,1389376818693uatom
strangelove-ventures,0.006782,3900008uatom,1361914252990uatom
DACM,0.006600,90990900uatom,1325519620271uatom
Staked,0.006376,103226uatom,1280390728490uatom
